기간	자치구	동	합계	합계	합계	대형마트	대형마트	대형마트	백화점	백화점	백화점	전문점	전문점	전문점	쇼핑센터	쇼핑센터	쇼핑센터	복합쇼핑몰	복합쇼핑몰	복합쇼핑몰	그밖의 대규모점포	그밖의 대규모점포	그밖의 대규모점포
2017	관악구	은천동	2	3,568	5,289	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	3,568	5,289
2017	관악구	청룡동	2	5,119	30,226	-	-	-	-	-	-	-	-	-	-	-	-	1	3,608	26,450	1	1,511	3,776
2017	관악구	난곡동	1	925	1,726	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	925	1,726
2017	관악구	삼성동	1	1,024	1,827	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,024	1,827
2017	관악구	미성동	1	3,384	4,850	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,384	4,850
2017	서초구	소계	27	299,026	1,408,128	3	22,979	208,763	2	65,607	285,708	3	54,347	231,184	-	-	-	-	-	-	19	156,093	682,473
2017	서초구	서초1동	2	36,737	136,990	-	-	-	-	-	-	1	33,736	107,508	-	-	-	-	-	-	1	3,001	29,482
2017	서초구	서초2동	3	11,856	22,687	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	11,856	22,687
2017	서초구	서초4동	4	17,483	363,833	-	-	-	-	-	-	1	5,546	92,717	-	-	-	-	-	-	3	11,937	271,116
2017	서초구	잠원동	3	8,921	16,920	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	8,921	16,920
2017	서초구	반포본동	1	2,803	23,710	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,803	23,710
2017	서초구	반포1동	1	1,256	1,844	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,256	1,844
2017	서초구	반포2동	1	9,564	12,329	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	9,564	12,329
2017	서초구	반포3동	3	31,412	66,959	1	3,752	17,048	1	12,595	18,952	1	15,065	30,959	-	-	-	-	-	-	-	-	-
2017	서초구	반포4동	2	109,391	377,459	-	-	-	1	53,012	266,756	-	-	-	-	-	-	-	-	-	1	56,379	110,703
2017	서초구	방배본동	1	4,958	5,975	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	4,958	5,975
2017	서초구	방배2동	1	3,080	3,605	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,080	3,605
2017	서초구	방배4동	1	6,446	21,498	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	6,446	21,498
2017	서초구	양재1동	1	1,127	2,525	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,127	2,525
2017	서초구	양재2동	3	53,992	351,794	2	19,227	191,715	-	-	-	-	-	-	-	-	-	-	-	-	1	34,765	160,079
2017	강남구	소계	32	332,701	1,815,204	1	5,174	46,778	6	136,951	318,845	-	-	-	3	27,290	443,334	1	80,038	701,880	21	83,248	304,367
2017	강남구	신사동	2	40,666	62,541	-	-	-	1	37,604	58,763	-	-	-	-	-	-	-	-	-	1	3,062	3,778
2017	강남구	논현1동	1	3,718	21,735	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,718	21,735
2017	강남구	논현2동	2	4,674	7,218	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	4,674	7,218
2017	강남구	삼성1동	5	153,439	1,245,178	-	-	-	1	46,111	99,964	-	-	-	3	27,290	443,334	1	80,038	701,880	-	-	-
2017	강남구	삼성2동	1	3,038	10,284	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,038	10,284
2017	강남구	대치1동	2	8,311	16,433	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	8,311	16,433
2017	강남구	대치4동	1	26,532	63,156	-	-	-	1	26,532	63,156	-	-	-	-	-	-	-	-	-	-	-	-
2017	강남구	역삼1동	2	8,196	34,820	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	8,196	34,820
2017	강남구	역삼2동	2	17,199	93,655	1	5,174	46,778	-	-	-	-	-	-	-	-	-	-	-	-	1	12,025	46,877
2017	강남구	도곡2동	1	7,916	102,379	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	7,916	102,379
2017	강남구	일원1동	1	1,025	4,165	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,025	4,165
2017	강남구	일원2동	2	3,884	6,253	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	3,884	6,253
2017	강남구	수서동	1	1,713	3,051	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1,713	3,051
2017	강남구	압구정동	4	26,632	55,947	-	-	-	2	23,318	42,496	-	-	-	-	-	-	-	-	-	2	3,314	13,451
2017	강남구	청담동	3	11,913	71,690	-	-	-	1	3,386	54,466	-	-	-	-	-	-	-	-	-	2	8,527	17,224
2017	강남구	대치2동	2	13,845	16,699	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	13,845	16,699
2017	송파구	소계	23	551,424	6,140,123	5	81,432	1,237,607	2	104,262	1,371,829	2	8,001	1,391,153	3	150,664	1,325,202	-	-	-	11	207,065	814,332
2017	송파구	마천1동	1	7,961	23,916	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	7,961	23,916
2017	송파구	마천2동	1	3,871	3,871	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,871	3,871
2017	송파구	오륜동	1	10,802	24,168	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	10,802	24,168
2017	송파구	오금동	1	3,004	24,183	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,004	24,183
2017	송파구	송파1동	1	5,269	7,966	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	5,269	7,966
2017	송파구	석촌동	1	2,771	4,296	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2,771	4,296
2017	송파구	가락2동	1	3,719	14,520	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,719	14,520
2017	송파구	문정2동	4	264,127	1,049,151	2	34,410	348,459	-	-	-	-	-	-	1	84,472	274,056	-	-	-	1	145,245	426,636
2017	송파구	잠실6동	6	128,419	3,524,247	2	26,040	857,729	1	31,680	807,686	1	4,507	807,686	2	66,192	1,051,146	-	-	-	-	-	-
2017	송파구	잠실7동	1	7,225	8,120	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	7,225	8,120
2017	송파구	잠실3동	5	114,256	1,455,685	1	20,982	31,419	1	72,582	564,143	1	3,494	583,467	-	-	-	-	-	-	2	17,198	276,656
2017	강동구	소계	16	143,884	450,208	3	31,916	108,225	1	28,994	74,203	-	-	-	-	-	-	-	-	-	12	82,974	267,780
2017	강동구	명일2동	2	18,143	69,222	1	8,659	27,913	-	-	-	-	-	-	-	-	-	-	-	-	1	9,484	41,309
2017	강동구	천호1동	1	14,176	63,018	1	14,176	63,018	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2017	강동구	천호3동	2	25,236	63,678	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	25,236	63,678
2017	강동구	성내2동	1	3,295	15,438	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3,295	15,438
2017	강동구	성내3동	1	4,076	23,910	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	4,076	23,910
2017	강동구	둔촌1동	1	7,208	11,070	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	7,208	11,070
2017	강동구	천호2동	6	64,615	160,102	1	9,081	17,294	1	28,994	74,203	-	-	-	-	-	-	-	-	-	4	26,540	68,605
2017	강동구	길동	2	7,135	43,772	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	7,135	43,772
